,date,device,text,location
0,2017-09-07 23:59:32,Twitter for iPhone,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
1,2017-09-07 23:59:28,Google,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/QlzXcem7Fa,
2,2017-09-07 23:59:13,IFTTT,Equifax says cyber attack may have hit 143 million customers https://t.co/vfZRbfVjeL #insurance #insuranceclaims,
3,2017-09-07 23:57:23,Twitter Web Client,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
4,2017-09-07 23:57:03,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
5,2017-09-07 23:56:38,Twitter for iPad,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
6,2017-09-07 23:56:22,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
7,2017-09-07 23:54:47,Twitter for Android,"Equifax Says Cyber Attack May Have Hit 143 Million Customers
https://t.co/ID32H60Ktn",
8,2017-09-07 23:54:41,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
9,2017-09-07 23:54:03,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
10,2017-09-07 23:53:06,Twitter for Android,BREAKING: Credit reporting agency Equifax reports cyber attack potentially impacting 143 million U.S. Costumers credit cards etc.,
11,2017-09-07 23:52:45,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
12,2017-09-07 23:51:08,Twitter Web Client,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
13,2017-09-07 23:50:07,The Tweeted Times,"Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/WbdQQ6KVW8, see more https://t.co/WCl9UQyXrp",
14,2017-09-07 23:50:03,Twitter for iPhone,Equifax data breach may have exposed personal info of 143M consumers | Clark Howard https://t.co/we1vesScgz,
15,2017-09-07 23:49:03,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
16,2017-09-07 23:48:22,Twitter for iPhone,A cyber attack has exposed the sensitive data of 143 million Americans https://t.co/VN2kkmRrGN https://t.co/XR7LCKfhi6,
17,2017-09-07 23:47:48,TweetDeck,A cyber attack has exposed the sensitive data of 143 million Americans https://t.co/VN2kkmRrGN https://t.co/XR7LCKfhi6,
18,2017-09-07 23:47:37,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
19,2017-09-07 23:47:11,Twitter Web Client,A cyber attack has exposed 143 million Americans' sensitive data https://t.co/WjUg8zn4d0,
20,2017-09-07 23:46:59,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
21,2017-09-07 23:46:54,Twitter Web Client,Equifax says cyber attack may have hit 143 million customers https://t.co/rw20mOcxjK,
22,2017-09-07 23:46:33,Twitter Web Client,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
23,2017-09-07 23:45:19,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
24,2017-09-07 23:44:33,Twitter Web Client,Equifax says it was hit by a cyber attack that may have affected about 143 million customers https://t.co/7gSGLfgyu8 https://t.co/ubhoufj3kq,
25,2017-09-07 23:44:08,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
26,2017-09-07 23:43:58,Twitter Web Client,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
