,date,device,text,location
0,2018-09-25 23:49:55,Stockawiki,"(Facebook has a talent drain problem, says Yale's Jeffrey Sonnenfeld) StockaWiki | Fast Breaking Financial News  

Facebook has lost a number of top executives during the past year as it faced scandals like the Cambridge Analytica data breach and... - :g/fBksbOWDGE",
1,2018-09-25 23:38:30,Facebook,Humpback What Triple Breach. :g/bIsK3c6qrr,
2,2018-09-25 23:38:03,Twitter Lite,Google and Facebook are facing anti trust recourse with US and International Courts.  They will likely be fined $50bn each for their global breach of privacy and the enabling of fraudulent activity of its users deliberately for bragging rights to user engagement data.,
3,2018-09-25 23:21:40,Facebook,This is a breach of personal privacy and wrong in so many levels ! :g/gITqSWcAMR,
4,2018-09-25 23:03:28,Facebook,"It is time to breach the dams on the lower Snake river. Unbelievable how poorly we as a society have protected the orcas of the Salish Sea so far.
Please keep pushing for their survival!
#BreachIn2018
-HN- :g/6m72Y9Uaip",
5,2018-09-25 19:44:16,Facebook Cull,"""The personal details of farmers carrying out the controversial badger cull have been leaked to animal rights activists in a major data breach..."" :g/8lMDItM1Vt",
6,2018-09-25 18:52:56,Facebook,"""The personal details of farmers carrying out the controversial badger cull have been leaked to animal rights activists in a major data breach..."" :g/8lMDItM1Vt",
7,2018-09-25 17:47:05,Twitter Web Client,"brilliant. of course. because state AGs know what they're doing and nearly all of them also called for an investigation of Facebook after ""breach"" which we still haven't gotten all of the facts on. and then google is google is google. :g/qZorQ6017L
Reports from AGs who were in the room for today’s DOJ meeting on tech companies are coming in — what began as an effort by DOJ to talk about bias quickly became a much larger conversation about privacy and data practices at tech companies.",
8,2018-09-25 17:20:22,Tanyakan News,Facebook Faces Indonesian Police Investigation Over Data Breach (Tanyakan News) - :g/YkBXh32uqr :/kgbRnOOpLD,
9,2018-09-25 16:47:41,Twitter for Android,"#CHPC 120 meets now. TELEVISED. Remuneration Models for Artists and Creative Industries.

#ETHI 117 meets now. Breach of Personal Information Involving Cambridge Analytica and Facebook.

Details/location/Witnesses: :g/N5D0Gob7hD #cdnpoli",
10,2018-09-25 15:02:53,Twitter for iPad,#ETHI 11 a.m.: Breach of Personal Information Involving Cambridge Analytica and Facebook :g/SHFRWh9iJ2 #cdnpoli :/ZskZX7jJlv,
11,2018-09-25 14:54:00,TweetDeck,"#CHPC 120 meets now. TELEVISED. Remuneration Models for Artists and Creative Industries.

#ETHI 117 meets now. Breach of Personal Information Involving Cambridge Analytica and Facebook.

Details/location/Witnesses: :g/N5D0Gob7hD #cdnpoli",
12,2018-09-25 13:30:24,Hootsuite Inc.,#ETHI 11 a.m.: Breach of Personal Information Involving Cambridge Analytica and Facebook :g/SHFRWh9iJ2 #cdnpoli :/ZskZX7jJlv,
13,2018-09-25 12:58:21,Twitter for Android,"@jorgeberry @EPN Proceso, la jornada, pájaro polí, Twitter ,facebook YouTube @julioastillero @jenarovillamil @SanjuanaMtz @AristeguiOnline @arteaganoticias @galvanochoa mencion honorífica a Javier Valdés, Miroslava Breach ellos si informaron. Tu y tú medio nada fueron  de la ""estapa"" maestra.",
14,2018-09-25 12:29:04,Isrg,"Facebook Data Leak: Is Your Account Safe? Here is What to do!

See: :g/vQrRJ4fcOi

@isrgrajan #TuesdayMotivation #IsrgRajan #breach #Cambridge_Analytica #data_theft #Facebook #privacy :g/6rvn5P9MPS",
15,2018-09-25 09:06:10,Tweetbot for iΟS,"I can use a new phone, new mobile number, and new email, but Facebook/Instagram somehow manages to recommend my account to my mates. This is a massive breach of privacy. I wish I could tell them not to do this.",
16,2018-09-25 08:28:17,Facebook,It is a wild triple breach! 🐋 🐳 🐋 :g/uvHsuAsnqn,
17,2018-09-25 08:26:17,Facebook,It is a Triple Breach! 🐋 🐳 🐋 :g/Vfcpj7RNGv,
18,2018-09-25 07:59:33,valbonne_ebooks,"Facebook stock tanks after data breach report, shaving billions in taxpayers money and leave us all my friends on it.",
