,date,device,text,location
0,2016-09-22 23:59:58,Twitter for iPad,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
1,2016-09-22 23:59:58,Twitter for Android,"Pengguna Yahoo Mail, agar WASPADA

Yahoo warns users at least 500 million accounts were hacked
@CNET
https://t.co/2L11PYl3LQ",
2,2016-09-22 23:59:38,Twitter for iPad,Yahoo says 500 million accounts stolen https://t.co/c3tysWcR2W https://t.co/a1JCt9T5YR,
3,2016-09-22 23:59:38,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
4,2016-09-22 23:59:38,Twitter for iPad,"@Yahoo knew about a Huge Data Breach 2 Years ago and confirm it only today? And they put crap about Movies on their Twitter feed. https://t.co/lUbsb220z9
Here are 13 films that already have a leg up in the marathon known as the #Oscars race: https://t.co/IgYdvLMYOT https://t.co/bgWqOcg0WR",
5,2016-09-22 23:59:28,Twitter for Android,"#Yahoo confirms data breach of 500 mln users, blames state-sponsored actor https://t.co/YXEf9ZSVK5 #hack",
6,2016-09-22 23:59:23,Tweetbot for iΟS,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
7,2016-09-22 23:59:21,Twitter Web Client,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
8,2016-09-22 23:59:18,Twitter for iPhone,"Hackers broke into 500 million Yahoo accounts in 2014, breach deeply personal data from 2003",
9,2016-09-22 23:59:01,Twitter for Android,"Yahoo says 500 million accounts stolen
https://t.co/aRIfeTh2QN",
10,2016-09-22 23:58:59,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
11,2016-09-22 23:58:59,SocialFlow,Everyone's making the same joke about Yahoo's massive data breach https://t.co/HPnBF06EH8,
12,2016-09-22 23:58:54,Twitter Web Client,Yahoo blames hack of 500M accounts on 'state sponsored actor' https://t.co/FmSSLx2GUC,
13,2016-09-22 23:58:46,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
14,2016-09-22 23:58:11,Twitter Web Client,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
15,2016-09-22 23:58:10,Linkis: turn sharing into growth,"#cyber_crime: #Yahoo confirms data breach of 500 mln users, blames 'state-sponsored actor' https://t.co/lpY2tUL0ri",
16,2016-09-22 23:58:10,Twitter for Android,Yahoo may be the biggest data breach https://t.co/dVqiiukDsy https://t.co/B5FvVoj1wM,
17,2016-09-22 23:58:09,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
18,2016-09-22 23:58:07,Twitter for Android,Yahoo says 500 million accounts stolen in 2014 https://t.co/B5kwI1r41p,
19,2016-09-22 23:58:07,Twitter for iPhone,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
20,2016-09-22 23:58:03,Twitter for iPhone,"Yahoo says at least 500 million user accounts were stolen in 2014, by what it thinks is a state-sponsored actor. https://t.co/G0krDoHEpd https://t.co/ian6rSgdPz",
21,2016-09-22 23:58:02,Twitter for Android,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
22,2016-09-22 23:57:57,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
23,2016-09-22 23:57:55,Twidere for Android #5,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
24,2016-09-22 23:57:48,Echofon,Hackers steal data from 500 million #Yahoo accounts https://t.co/qgVRrJliZG https://t.co/PKAPc3GMEc,
25,2016-09-22 23:57:48,Twitter Web Client,Yahoo confirms a data breach affecting at least 500 million user accounts. Time to change your password! https://t.co/NxItHVpXln,
26,2016-09-22 23:57:47,Twitter Web Client,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
27,2016-09-22 23:57:45,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
