,date,device,text,location
0,2016-08-31 23:48:27,IFTTT,The Next Web WARNING! Major Dropbox password leak. Is your account secure? : Im0G1B9VUy,
1,2016-08-31 23:37:37,Twitter for Android,"""It's Official: 68 Million Dropbox Account Details Leaked Online"" : Orwl3j3zKy #dropbox #password #leak #security",
2,2016-08-31 23:37:09,Twitter for Android,"""It's Official: 68 Million Dropbox Account Details Leaked Online"" : Orwl3j3zKy #dropbox #password #leak #security",
3,2016-08-31 23:27:38,Twitter for iPhone,"If you guys use Dropbox, they had a supposed password leak today. Be sure to change your password!",
4,2016-08-31 23:22:24,Twitter for iPhone,"If you guys use Dropbox, they had a supposed password leak today. Be sure to change your password!",
5,2016-08-31 23:18:49,Twitter for Android,"If you guys use Dropbox, they had a supposed password leak today. Be sure to change your password!",
6,2016-08-31 23:16:55,Mobile Web (M2),"If you guys use Dropbox, they had a supposed password leak today. Be sure to change your password!",
7,2016-08-31 23:15:41,Twitter for iPhone,"If you guys use Dropbox, they had a supposed password leak today. Be sure to change your password!",
8,2016-08-31 23:15:38,Twitter for iPhone,"If you guys use Dropbox, they had a supposed password leak today. Be sure to change your password!",
9,2016-08-31 23:15:36,Twitter Web Client,"If you guys use Dropbox, they had a supposed password leak today. Be sure to change your password!",
10,2016-08-31 23:15:18,TweetDeck,"If you guys use Dropbox, they had a supposed password leak today. Be sure to change your password!",
11,2016-08-31 19:41:38,MarketHub,Dropbox says password reset measures have worked following leak revelations : bUzDLDYfCE : JuOaAGTOq9,
12,2016-08-31 19:10:04,Twitter for Android,"ICYMI, #DropBox got hacked mid-2012 and now the dump w/ hashes available in the wild : s3iQTpog3Y #password #leak",
13,2016-08-31 18:10:15,Twitter for Mac,ok password is no longer youwillbringcaptainsoloandthewookieetome. THANKS A LOT DROPBOX LEAK!,
14,2016-08-31 17:15:53,Dustcloud.io,"It's always a good idea to change your password, but the @Dropbox leak happened in 2012 &amp; the PWs are (probably) still safely encrypted",
15,2016-08-31 16:53:07,Twitter Web Client,Dropbox says password reset measures have worked following leak revelations : XwYCflrYHS via @cloud_comp_news,
16,2016-08-31 16:21:15,Tweetbot for iΟS,My email and password is in the Dropbox leak from 2012. But I've changed it a few times since then. So should you.,
17,2016-08-31 16:18:11,Twitter Web Client,"It's always a good idea to change your password, but the @Dropbox leak happened in 2012 &amp; the PWs are (probably) still safely encrypted",
18,2016-08-31 15:34:57,twitterfeed,Dropbox says password reset measures have worked following leak revelations - Cloud Tech : T5YVYKvBXm #cloudcomputing,
19,2016-08-31 15:34:30,IFTTT,Dropbox says password reset measures have worked following leak revelations : kfvvatY58B via TheCloudNetwork☁️ #Opines on #Cloud,
20,2016-08-31 15:22:14,Twitter Web Client,"Troy Hunt analyzes the Dropbox leak to show the benefit of strong passwords, which a password safe can generate  : Gx4cowhnjn",
21,2016-08-31 15:19:23,Mobile Web,Dropbox says password reset measures have worked following leak revelations : njwEqjeIBX via @cloud_comp_news,
22,2016-08-31 15:12:13,Twitter for Android,The worst part about this #dropbox password leak is how many #1password master keychains are sync'd there. There go ALL your passwords!!,
23,2016-08-31 15:05:05,dlvr.it,Dropbox says password reset measures have worked following leak revelations - Cloud Tech : klD0vsYL3s,
24,2016-08-31 15:03:24,dlvr.it,Dropbox says password reset measures have worked following leak revelations - Cloud Tech : i1RMMhNGYq : vUTkW88lf5,
25,2016-08-31 15:03:23,twitterfeed,Dropbox says password reset measures have worked following leak revelations - Cloud Tech : 9LjpNp2VHR,
26,2016-08-31 15:03:01,dlvr.it,Dropbox says password reset measures have worked following leak revelations - Cloud Tech : 2OIvzxmXDt,
27,2016-08-31 15:02:32,Tweetbot for iΟS,My email and password is in the Dropbox leak from 2012. But I've changed it a few times since then. So should you.,
28,2016-08-31 14:55:03,twitterfeed,Dropbox says password reset measures have worked following leak revelations - Cloud Tech : Zy8E2yHblI,
29,2016-08-31 14:54:41,Twitter for iPhone,"Troy Hunt analyzes the Dropbox leak to show the benefit of strong passwords, which a password safe can generate  : Gx4cowhnjn",
30,2016-08-31 14:47:47,Twitter for iPad,Dropbox says password reset measures have worked following leak revelations : spaUzaoMhL #cloud : AdlzO6gyBj,
31,2016-08-31 14:47:46,IFTTT,Dropbox says password reset measures have worked following leak revelations - Cloud Tech : GVp86Nxk48,
32,2016-08-31 14:46:11,IFTTT,Dropbox says password reset measures have worked following leak revelations - Cloud Tech : 3kANCaDOyC,
33,2016-08-31 14:45:01,Twitter Web Client,"@jackschofield @rschifreen Still cheaper than Dropbox though, and less likely to leak your password....",
34,2016-08-31 14:41:44,Twitter Web Client,"Troy Hunt analyzes the Dropbox leak to show the benefit of strong passwords, which a password safe can generate  : Gx4cowhnjn",
35,2016-08-31 14:41:11,Twitter for iPhone,"ICYMI, #DropBox got hacked mid-2012 and now the dump w/ hashes available in the wild : s3iQTpog3Y #password #leak",
